upstream,downstream
Arap1,Pde2a
Timm10b,Dnhd1
Zfp7,Commd5
Pfdn5,Myg1
Zbtb22,Tapbp
Psma2,AW209491
Phyhd1,Nup188
H13,Mcts2
Mettl23,Mfsd11
Trim16,Fbxw10
Borcs8,Mef2b
Cers1,Gdf1
Rnf170,Thap1
Dnajc25,Gng10
Emc1,Ubr4
Nphp3,Acad11
Ormdl1,Osgepl1
Ugt1a7c,Ugt1a6b
Usf1,Tstd1
Clcf1,Pold4
4933434E20Rik,1700094D03Rik
Denr,Ccdc62
Krit1,Lrrd1
Cox17,Popdc2
Eef1akmt4,Ece2
Ifnar2,Il10rb
Churc1,Fntb
Hif1a,Snapc1
Snhg4,Matr3
Ttc41,Nt5dc3
Raet1e,H60b
Commd1,B3gnt2
Dph1,Ovca2
Cenpb,Spef1
Tmem189,Ube2v1
Nanp,Ninl
Atrip,Trex1
Manf,Rbm15b
Ndufb8,Sec31b
Rbm14,Rbm4
Zfpl1,Vps51
Cog8,Pdf
Zfp866,Zfp963
Kxd1,Uba52
Bloc1s1,Rdh5
Gstt3,Ddt
Fbxo24,Pcolce
Gbp4,Gbp9
Gbp6,Gbp10
Prr14l,Pisd
Psmg3,Tmem184a
Gtf3c2,Mpv17
Smim14,Ugdh
Mapkapk5,Adam1a
Rps10,Nudt3
Metrn,Fam173a
Dnaaf2,Rpl36al
Gon7,Moap1
Apoc4,Apoc2
Ctsd,Ifitm10
Dhdh,Bax
Flt3l,Rpl13a
Prrt2,Pagr1a
Ifitm2,Ifitm5
Pak4,Samd4b
Tmc4,Leng1
Ctla2a,Ctla2b
Zfp729a,Zfp729b
Tut7,Isca1
H1f4,H2bc6
Ahctf1,Kif28
Ankrd39,Ankrd23
Fdps,Rusc1
Slc35a3,Mfsd14a
Rnpc3,Amy1
Cbx6,Nptxr
Eef1d,Naprt
Zhx1,9130401M01Rik
Tonsl,Vps28
D630045J12Rik,Atp6v0a4
Isy1,Rab43
Xkrx,Nox1
Rpgr,Srpx
Txnl4a,Gm16286
Opn3,Chml
C030006K11Rik,Lrrc24
Mtcp1,Cmc4
