1.1.1.1,1.1.1.2,1.1.1.3,1.1.2.1,1.1.2.2,1.1.3.1,1.1.3.2,1.1.4.0,1.1.5.0,1.1.6.0,1.1.7.1,1.1.7.2,1.1.7.3,1.1.7.4,1.1.7.5,1.1.8.1,1.1.8.2,1.1.0.1,1.1.0.2,1.2.1.0,1.2.2.1,1.2.2.2,1.2.3.1,1.2.3.2,1.2.3.3,1.2.3.4,1.2.3.5,1.2.4.1,1.2.5.1,1.2.5.2,1.2.5.3,1.2.5.4,1.2.5.5,1.2.6.1,1.2.6.2,1.2.6.3,1.2.6.4,1.2.6.5,1.2.6.6,1.2.6.7,1.2.8.0,1.3.1.0,2.1.1.1,2.1.1.2,2.1.2.1,2.1.2.2,2.1.2.3,2.1.2.4,2.1.2.5,2.1.2.6,2.1.2.7,2.1.3.1,2.1.3.2,2.1.3.3,2.1.3.4,2.1.3.5,2.1.4.0,2.1.5.0,2.1.6.0,2.1.7.0,2.2.1.1,2.2.1.2,2.3.1.1,2.3.1.2,2.3.1.3,2.3.2.1,2.3.2.2,2.3.2.3,2.3.2.4,2.3.3.1,2.3.3.2,2.3.3.3,2.3.3.4,2.3.3.5,2.3.3.6,2.3.3.7,2.3.3.8,2.3.3.9,2.3.3.10,2.3.3.11,2.3.3.12,2.3.3.13,2.3.3.14,2.3.3.15,2.3.3.16,2.3.3.17,2.3.3.18,2.3.3.19,2.3.3.20,2.3.3.21,2.3.3.22,2.3.3.23,2.3.3.24,2.3.3.25,2.3.3.26,2.3.3.27,2.3.3.28,2.3.3.29,2.3.3.30,2.3.3.31,2.3.3.32,2.3.3.33,2.3.3.34,2.3.3.35,2.3.3.36,2.3.3.37,2.3.3.38,2.3.3.39,2.3.3.40,2.3.3.41,2.3.3.42,2.3.3.43,2.3.3.44,2.3.3.45,2.3.3.46,2.3.3.47,2.3.3.48,2.3.3.49,2.3.3.50,2.3.3.51,2.3.3.52,2.3.3.53,2.3.3.54,2.3.3.55,2.3.3.56,2.3.3.57,2.3.3.58,2.3.3.59,2.3.3.60,2.3.3.61,2.3.3.62,2.3.3.63,2.3.3.64,2.3.3.65,2.3.3.66,2.3.3.67,2.3.3.68,2.3.3.69,2.3.3.70,2.3.3.71,2.3.3.72,2.3.3.73,2.3.3.74,2.3.3.75,2.3.3.76,2.3.3.77,2.3.3.78,2.3.3.79,2.3.3.80,2.3.3.0,2.3.4.1,2.3.4.2,2.3.4.3,2.3.4.4,2.3.4.5,2.3.4.6,2.3.4.7,2.3.4.8,2.3.4.9,2.3.4.10,2.3.4.11,2.3.4.12,2.3.4.13,2.3.4.14,2.3.4.15,2.3.4.16,2.3.4.17,2.3.4.18,2.3.4.19,2.3.4.20,2.3.4.21,2.3.4.22,2.3.4.23,2.3.4.24,2.3.4.25,2.3.4.0,2.3.5.0,2.4,2.5.1.0,2.6.1.0,2.7.1.0,2.7.2.0,2.7.3.0,2.7.4.0,2.7.5.0,2.8.1.0,2.8.2.0,2.8.3.0,2.8.4.0,2.9.1.0,3.1.1.1,3.1.1.2,3.1.1.3,3.1.1.4,3.1.1.5,3.1.1.6,3.1.1.7,3.1.1.8,3.1.1.9,3.1.1.10,3.1.1.11,3.1.1.12,3.1.1.13,3.1.1.14,3.1.1.15,3.1.2.1,3.1.2.2,3.1.2.3,3.1.2.4,3.1.2.5,3.1.2.6,3.1.2.7,3.1.2.8,3.1.2.9,3.1.2.10,3.1.2.11,3.1.2.12,3.1.2.13,3.1.2.14,3.1.2.15,3.1.2.16,3.1.2.17,3.1.2.18,3.1.2.19,3.1.2.20,3.1.2.21,3.1.2.22,3.1.2.23,3.1.3.1,3.1.3.2,3.1.3.3,3.1.3.4,3.1.3.5,3.1.3.6,3.1.3.7,3.1.3.8,3.1.3.9,3.1.3.10,3.1.3.11,3.1.3.12,3.1.3.13,3.1.3.14,3.1.3.15,3.1.3.16,3.1.3.17,3.1.3.18,3.1.3.19,3.1.3.20,3.1.3.21,3.1.3.22,3.1.3.23,3.1.3.24,3.1.3.25,3.1.3.26,3.1.3.27,3.1.3.28,3.1.4.1,3.1.4.2,3.1.4.3,3.1.4.4,3.1.4.5,3.1.4.6,3.1.5.1,3.1.5.2,3.1.5.3,3.1.5.4,3.1.5.5,3.1.5.6,3.1.6.1,3.1.6.2,3.1.6.3,3.1.7.0,3.1.8.1,3.1.8.2,3.1.8.3,3.1.8.4,3.1.8.5,3.1.9.1,3.1.9.2,3.1.9.3,3.1.10.1,3.1.10.2,3.1.10.3,3.1.10.4,3.1.10.5,3.1.10.6,3.1.10.7,3.1.10.8,3.1.11.0,3.2.1.1,3.2.1.2,3.2.2.1,3.2.2.2,3.3.1.1,3.3.1.2,3.3.1.3,3.3.1.4,3.3.1.5,3.3.1.6,3.3.1.7,3.3.1.8,3.3.1.9,3.3.1.10,3.3.1.11,3.3.1.12,3.3.1.13,3.3.1.14,3.3.1.15,3.3.1.16,3.3.1.17,3.3.1.18,3.3.1.19,3.3.2.1,3.3.2.2,3.3.3.0,3.4.1.0,3.5.1.1,3.5.1.2,3.5.1.3,3.5.1.4,3.5.1.5,3.5.1.6,3.5.1.7,3.5.2.1,3.5.2.2,3.5.2.3,3.5.2.4,3.5.2.5,3.5.2.6,3.5.2.7,3.6.1.0,3.7.1.1,3.7.1.2,3.7.1.3,3.7.1.4,3.7.1.5,3.7.1.6,3.7.1.7,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.4,4.1.1.5,4.1.1.6,4.1.1.7,4.1.1.8,4.1.1.9,4.1.2.0,4.1.3.0,4.1.4.0,4.1.5.0,4.1.6.1,4.1.6.2,4.1.7.0,4.2.1.0,5.1.1.1,5.1.2.0,5.2.1.0,5.3.1.0,5.3.2.0,5.3.3.1,5.3.4.0,5.3.5.1,5.3.5.2,6.1.1.1,6.1.1.2,6.1.2.1,6.1.2.2,6.1.3.0,6.1.4.1,6.1.5.0,6.2.1.0,6.3.1.0,6.4.1.0,6.5.1.0,6.5.2.0,6.5.3.0,6.5.4.0,6.5.5.0,6.6.1.0,6.7.1.1,6.7.2.0,7.1.1.1,7.1.1.2,7.1.1.3,7.1.2.0,7.2.1.0,8.1.1.0,8.2.1.0,9.1.1.1,9.1.1.2,9.1.1.3,0.1.1.0,0.2.1.0,0.3.1.0,0.4.1.0,0.0.1.0,0.0.2.0,0.0.3.0,0.0.4.0,0.0.5.0,0.0.6.0
Jun,Nfe2,Atf2,Fos,Atf3,Maf,Maff,Batf,Xbp1,Atf4,Creb1,Creb3,Atf6,Crebzf,Crebl2,Cebpa,Dbp,Tsc22d1,Utf1,Tcf3,Myod1,Ascl1,Tal1,Twist1,Mesp1,Neurod1,Bhlha9,Hes1,Ahr,Arnt,Ncoa1,Npas4,Sohlh1,Tfe3,Usf1,Srebf1,Tfap4,Myc,Mlx,Mxd1,Id1,Tfap2a,Nr3c1,Esr1,Rara,Thra,Nr1d1,Vdr,Ppara,Rora,Nr1h3,Rxra,Hnf4a,Nr2e1,Nr2c1,Nr2f1,Nr4a1,Nr5a1,Nr6a1,Nr0b1,Gata1,Gatad1,Sp1,Klf1,Egr1,Zbtb5,,,Zfp414,Gli1,Snai1,Zfp91,Zfp280b,,,,Zbtb7a,Yy1,Zfp24,Zbtb6,Prdm1,Zfp148,Zbtb20,Zfp524,Zbtb18,Ovol1,,Zkscan2,Fezf1,Gfi1,Bcl6b,,Mtf1,Plagl2,Zkscan3,,Zfp523,Zfp652,,Zfp583,,,,,,,,Zfp771,,Zfp637,,,Zfp661,,Zxdb,,,,Ctcf,Zfp710,Zfp322a,,,Zfp146,,,Zfp46,Zfp932,,,Zfp2,Zfp30,Zfp354a,Zfx,Zfp689,,,Zfp37,,,,,,,,,,,,Zbtb14,,Zfp219,Sall1,Ikzf1,Hivep1,Zbtb1,Rlf,Maz,Zfp532,Zfp512,,Zfp423,Zfp639,Mecom,Bcl11a,Insm1,Hic1,Zfp518a,Bnc1,Trerf1,Hinfp,Zfp526,Zfp319,,Zfp248,Casz1,Zbed3,,Dmrt1,Cxxc1,Myt1,Zfpm1,Kat8,L3mbtl1,Lyar,Zc3h8,Zgpat,Rc3h2,Cnot4,Thap1,Hoxa1,Hoxa2,Hoxa3,Hoxa4,Hoxa5,Hoxa6,Hoxb8,Hoxa9,Cdx1,Evx1,Gbx1,Gsx1,Mnx1,Meox1,Pdx1,Barhl1,Barx1,Bsx,Dbx1,Dlx1,Emx1,En1,Hhex,Hlx,Lbx1,Msx1,Nano,Nkx1.1,Nkx2.1,Nkx2.2,Nkx3.1,Nkx2.3,Hmx1,Nkx6.1,Noto,Tlx1,Vax1,,Alx1,,Arx,Dmbx1,,Prrxl1,,,Gsc,Hesx1,Hopx,Isx,,Mixl1,,Otp,Otx1,Phox2a,Pitx1,Prop1,Prrx1,Rax,,Sebox,Shox2,,Uncx,Vsx1,Irx1,Meis1,Mkx,Pbx1,Pknox1,Tgif1,Isl1,Lhx1,Lhx2,Lhx3,Lhx6,Lmx1a,Six1,Six3,Six4,Prox1,,Tshz1,Zeb1,Zfhx2,Zhx1,Onecut1,Cux1,Satb1,Pou1f1,Pou2f1,Pou3f1,Pou4f1,Pou5f1,Pou6f1,Hnf1a,Hdx,Phtf1,Pax3,Pax4,Pax1,Pax2,Foxa1,Foxb1,Foxc1,Foxd1,Foxe1,Foxf1,Foxg1,Foxh1,Foxi1,Foxj1,Foxk1,Foxl1,Foxm1,Foxn1,Foxo1,Foxp1,Foxq1,Foxr1,Foxs1,E2f1,Tfdp1,Rfx1,Hsf1,Myb,Ncor1,Mier1,Dnajc1,Smarca1,Tada2a,Dmtf1,Ets1,Elk1,Elf1,Ehf,Spi1,Etv6,Irf1,Tead1,Arid1a,Arid2,Arid3a,Arid4a,Arid5a,Kdm5a,Jarid2,Sry,Sox1,Sox4,Sox5,Sox8,Sox7,Sox15,Sox30,Cic,Tox,Tcf7,Pbrm1,Nsd2,Ubtf,Ubtfl1,Tfam,Nfya,Mef2a,Srf,,Aire,Deaf1,Gmeb1,Sp110,Sp140,Sp100,Nfkb1,Rela,Nfkbia,"Ppp1r13l
",Nfatc1,Rbpj,Ebf1,Stat1,Trp53,Runx2,T,Tbr1,Tbx1,Tbx2,Tbx6,Myrf,Grhl1,Tfcp2,Smad1,Smad4,Smad6,Nfia,Gcm1,Tbp,Hmga1,Ybx3,Ybx1,Ybx2,Csrnp1,Nono,Lrrfip1,Nfx1,Tcf25,Phf5a,Rfxank,Rfxap,Pura,Nrf1
Junb,Nfe2l1,Atf7,Fosb,Jdp2,Mafa,Mafg,Batf2,,Atf5,Atf1,Creb3l1,Atf6b,,,Cebpb,Hlf,Tsc22d2,,Tcf4,Myog,Ascl2,Tal2,Twist2,Mesp2,Neurod2,,Hes2,Ahrr,Arnt2,Ncoa2,,Sohlh2,Tfeb,Usf2,Srebf2,,Mycn,Mlxip,Mxd3,Id2,Tfap2b,Nr3c2,Esr2,Rarb,Thrb,Nr1d2,Nr1i2,Ppard,Rorb,Nr1h2,Rxrb,Hnf4g,Nr2e3,Nr2c2,Nr2f2,Nr4a2,Nr5a2,,Nr0b2,Gata2,Gatad2a,Sp2,Klf2,Egr2,Zbtb8b,,,Zfp511,Gli2,Snai2,Zfp692,Zfp280c,,,,Zbtb7b,Yy2,Zkscan1,Zbtb26,,Zfp281,Zbtb45,,Zbtb42,Ovol2,,Zscan29,Fezf2,Gfi1b,Bcl6,,Zfp410,Plag1,Zkscan4,,Zfp143,,,,,,,,,,,,,Zik1,,,,,Zxdc,,,,Ctcfl,,,,,Zfp260,,,Zscan2,,,,,Zfp82,Zfp354b,Zfy1,Zfp672,,,,,,,,,,,,,,,Zscan17,,Zfp536,Sall2,Ikzf2,Hivep2,Zbtb2,Zfp292,Vezf1,Zfp592,Zfp512b,,Zfp521,Zfp711,Prdm16,Bcl11b,Inam2,Hic2,Zfb518b,Bnc2,Zfp541,Zfat,Zfp574,Zfp786,,Zfp334,Zfp335,Zbed4,,Dmrt2,Mbd1,Myt1l,Zfpm2,Kat7,,,Zc3h4,,,,Thap2,Hoxb1,Hoxb2,Hoxb3,Hoxb4,Hoxb5,Hoxb6,Hoxc8,Hoxb9,Cdx2,Evx2,Gbx2,Gsx2,,Meox2,,Barhl2,Barx2,,Dbx2,Dlx2,Emx2,En2,,,Lbx2,Msx2,,Nkx1.2,Nkx2.4,Nkx2.9,Nkx3.2,Nkx2.5,Hmx2,Nkx6.2,,Tlx2,Vax2,,Alx3,,,,,,,,Gsc2,,,,,,,,Otx2,Phox2b,Pitx2,,Prrx2,,,,,,,Vsx2,Irx2,Meis2,,Pbx2,Pknox2,Tgif2,Isl2,Lxh5,Lhx9,Lhx4,Lhx8,Lmx1b,Six2,Six6,Six5,Prox2,,Tshz2,Zeb2,Zfhx3,Zhx2,Onecut2,Cux2,Satb2,,Pou2f2,Pou3f2,Pou4f2,Pou5f2,Pou6f2,Hnf1b,,Phtf2,Pax7,Pax6,Pax9,Pax5,Foxa2,Foxb2,Foxc2,Foxd2,Foxe3,Foxf2,,,Foxi2,Foxj2,Foxk2,Foxl2,,Foxn2,Foxo3,Foxp2,,Foxr2,,E2f2,Tfdp2,Rfx2,Hsf2,Mybl1,Ncor2,Mier2,Dnajc2,Smarca5,Tada2b,,Ets2,Elk3,Elf2,Elf3,Spib,,Irf2,Tead4,Arid1b,,Arid3b,Arid4b,Arid5b,Kdm5b,,,Sox2,Sox11,Sox6,Sox9,Sox17,,,Hbp1,Tox2,Tcf7l1,Hmgxb4,Ssrp1,,,,Nfyb,Mef2b,,,,,Gmeb2,,,,Nfkb2,Relb,Nfkbib,,Nfatc2,Rbpjl,Ebf2,Stat2,Trp63,Runx1,Tbx19,Eomes,Tbx10,Tbx3,Mga,,Grhl2,Tfcp2l1,Smad2,,Smad7,Nfib,Gcm2,Tbpl1,Hmga2,,,,Csrnp2,Sfpq,Lrrfip2,Nfxl1,,,,,Purb,
Jund,Nfe2l2,Creb5,Fosl1,,Mafb,Mafk,Batf3,,,Crem,Creb3l2,,,,Cebpg,Tef,Tsc22d3,,Tcf12,Myf5,Ascl3,Lyl1,Hand1,Tcf23,Neurod4,,Hes3,Sim1,Arntl,Ncoa3,,Tcfl5,Tfec,,,,Mycl,Mlxipl,Mxd4,Id3,Tfap2c,Ar,Esrra,Rarg,,,Nr1i3,Pparg,Rorc,Nr1h4,Rxrg,,,,Nr2f6,Nr4a3,,,,Gata3,Gatad2b,Sp3,Klf3,Egr3,Zbtb22,,,Zfp580,Gli3,Snai3,Zfp276,Zfp280d,,,,Zbtb7c,Zfp42,,Zbtb12,,,,,,,,,,,,,,Plagl1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp14,,Zfy2,,,,,,,,,,,,,,,,Osr2,,Zfp516,Sall3,Ikzf3,Hivep3,Zbtb25,,Patz1,Zfp687,,,,,,Zfp296,,,,,,,,,,Zfp382,Prdm8,Zbed6,,Dmrt3,Tet1,,,Kat6a,,,Zc3h6,,,,Thap3,Hoxd1,,Hoxd3,Hoxc4,Hoxc5,Hoxc6,Hoxd8,Hoxc9,Cdx4,,,,,,,,,,,Dlx3,,,,,,,,,,,,Nkx2.6,Hmx3,Nkx6.3,,Tlx3,,,Alx4,,,,,,,,,,,,,,,,Crx,,Pitx3,,,,,,,,,,Irx3,Meis3,,Pbx3,,Tgif2lx1,,,,,,,,,,,,Tshz3,,Zfhx4,Zhx3,Onecut3,,,,Pou2f3,Pou3f3,Pou4f3,,,Hmbox1,,,,,,Pax8,Foxa3,,,Foxd3,,,,,Foxi3,Foxj3,,,,Foxn3,Foxo4,Foxp3,,,,E2f3,,Rfx3,Hsf4,Mybl2,Rcor1,Mier3,,,Smarcc1,,Etv2,Elk4,Elf4,Elf5,Spic,,Irf3,Tead2,,,Arid3c,,,Kdm5c,,,Sox3,Sox12,Sox13,Sox10,Sox18,,,Bbx,Tox3,Tcf7l2,,,,,,Nfyc,Mef2c,,,,,,,,,,Rel,Nfkbid,,Nfatc3,,Ebf3,Stat3,Trp73,Runx3,,Tbx21,Tbx15,Tbx4,,,Grhl3,Ubp1,Smad3,,,Nfic,,Tbpl2,,,,,Csrnp3,Pspc1,,Znfx1,,,,,Purg,
,Nfe2l3,,Fosl2,,Nrl,,,,,,Creb3l3,,,,Cebpd,Nfil3,Tsc22d4,,,Myf6,Ascl4,Nhlh1,Hand2,Msc,Neurod6,,Hes5,Sim2,Arntl2,,,,Mitf,,,,Max,,Mga,Id4,Tfap2d,Pgr,Esrrb,,,,,,,,,,,,,,,,,Gata4,Mta1,Sp4,Klf4,Egr4,Zbtb32,,,Zfp740,Glis1,Scrt1,Zfp653,Pogz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp422,,Zfp217,Sall4,Ikzf4,,,,,,,,,,,,,,,,,,,,,,Wiz,,,Dmrta1,Kmt2a,,,Kat6b,,,,,,,Thap4,,,,Hoxd4,,Hoxa7,,Hoxd9,,,,,,,,,,,,Dlx4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irx4,,,Pbx4,,,,,,,,,,,,,,,,,Homez,,,,,,Pou3f4,,,,,,,,,,,,,,Foxd4,,,,,,,,,,Foxn4,Foxo6,Foxp4,,,,E2f4,,Rfx4,Hsf5,Cdc5l,Rcor2,Mta1,,,Smarcc2,,Gabpa,Etv1,,,,,Irf4,Tead3,,,,,,Kdm5d,,,Sox14,,,,,,,,Tox4,Lef1,,,,,,,Mef2d,,,,,,,,,,,Nfkbie,,Nfatc4,,Ebf4,Stat4,,,,,Tbx18,Tbx5,,,,,Smad5,,,Nfix,,,,,,,,,,,,,,,,
,Bach1,,,,,,,,,,Creb3l4,,,,Cebpe,,,,,,Ascl5,Nhlh2,Tcf15,Tcf21,Neurog1,,Hes6,Hif1a,Clock,,,,,,,,Bmyc,,Mxi1,,Tfap2e,,Esrrg,,,,,,,,,,,,,,,,,Gata5,Mta2,Sp5,Klf5,,Zbtb34,,,Zfpm2,Glis2,Scrt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp41,,,,Ikzf5,,,,,,,,,,,,,,,,,,,,,,Zfp469,,,Dmrta2,Kdm2a,,,Kat5,,,,,,,Thap7,,,,,,Hoxb7,,Hoxa10,,,,,,,,,,,,Dlx5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irx5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2f5,,Rfx5,Hsfy2,Snapc4,Rcor3,Mta2,,,,,Fli1,Etv4,,,,,Irf5,,,,,,,,,,Sox21,,,,,,,,Smarce1,Taf1,,,,,,,,,,,,,,,,,,Nfkbiz,,Nfat5,,,Stat5a,,,,,Tbx20,,,,,,Smad9,,,,,,,,,,,,,,,,,,,
,Bach2,,,,,,,,,,,,,,,,,,,,,,Scx,Msgn1,Neurog2,,Hes7,Hif3a,,,,,,,,,,,Mnt,,,,,,,,,,,,,,,,,,,,,Gata6,Mta3,Sp6,Klf6,,Zbtb37,,,Osr1,Glis3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zkscan6,,,,,,,,,,,,,,,,,,,,,,,,,,Zfpm1,,,Dmrtb1,Dnmt1,,,,,,,,,,Thap11,,,,,,,,Hoxc10,,,,,,,,,,,,Dlx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irx6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2f6,,Rfx6,Hsf3,,,Mta3,,,,,Erg,Etv5,,,,,Irf6,,,,,,,,,,,,,,,,,,Hmg20a,,,,,,,,,,,,,,,,,,,Tonsl,,,,,Stat5b,,,,,Tbx22,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Ptf1a,,Neurog3,,Hey1,Epas1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zglp1,Sp7,Klf7,,Zbtb43,,,Ovol3,Zic1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wt1,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb4,,,Dmrtc2,Kmt2b,,,,,,,,,,Thap12,,,,,,,,Hoxd10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2f7,,Rfx7,,,,Rere,,,,,Fev,,,,,,Irf7,,,,,,,,,,,,,,,,,,Hmg20b,,,,,,,,,,,,,,,,,,,Nfkbil1,,,,,Stat6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Figla,,Atoh1,,Hey2,Npas1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dnmt3a,Sp8,Klf8,,Zbtb46,,,Aebp2,Zic2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prdm6,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb38,,,Dmrtc1a,,,,,,,,,,,,,,,,,,,Hoxa11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E2f8,,Rfx8,,,,Dmap1,,,,,Etv3,,,,,,Irf8,,,,,,,,,,,,,,,,,,Hmgxb3,,,,,,,,,,,,,,,,,,,Bcl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Atoh7,,Heyl,Npas3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dnmt3b,Sp9,Klf9,,Zbtb33,,,,Zic3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp444,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb39,,,Dmrtc1b,,,,,,,,,,,,,,,,,,,Hoxc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trerf1,,,,,Erf,,,,,,Irf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Atoh8,,Helt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dnmt3l,,Klf10,,,,,,Zic4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp641,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb21,,,,,,,,,,,,,,,,,,,,,,Hoxd11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
